timestamp,src_ip,session,input,eventid
2026-04-16T20:12:31.355786Z,35.176.162.240,c682ae79d54b,whoami,cowrie.command.input
2026-04-16T20:12:31.962283Z,35.176.162.240,cb4be3294444,id,cowrie.command.input
2026-04-16T20:12:32.575000Z,35.176.162.240,b6abc6aac9ad,uname -a,cowrie.command.input
2026-04-16T20:12:33.135340Z,35.176.162.240,19272657f5ef,hostname,cowrie.command.input
2026-04-16T20:12:33.789411Z,35.176.162.240,39876b4c8644,cat /etc/passwd,cowrie.command.input
2026-04-16T20:12:34.389610Z,35.176.162.240,aa6e2011ea5f,ls,cowrie.command.input
2026-04-16T20:12:35.108570Z,35.176.162.240,3f39a7b614aa,ls -la,cowrie.command.input
2026-04-16T20:12:35.714861Z,35.176.162.240,874108325f7b,pwd,cowrie.command.input
2026-04-16T20:12:36.271496Z,35.176.162.240,cfd2365f3922,cd /etc,cowrie.command.input
2026-04-16T20:12:36.874521Z,35.176.162.240,d2070f4ea5db,ls,cowrie.command.input
2026-04-16T20:12:37.475597Z,35.176.162.240,f98c911b352f,cd /tmp,cowrie.command.input
2026-04-16T20:12:38.029312Z,35.176.162.240,059e0e91169f,ls,cowrie.command.input
2026-04-16T20:12:38.764594Z,35.176.162.240,b80eb9e0da85,netstat,cowrie.command.input
2026-04-16T20:12:39.402200Z,35.176.162.240,5f5af678a016,ifconfig,cowrie.command.input
2026-04-16T20:12:40.059879Z,35.176.162.240,9934ab23eff1,ps aux,cowrie.command.input
2026-04-16T20:12:40.664969Z,35.176.162.240,a8aded4b7d36,cat /etc/shadow,cowrie.command.input
2026-04-16T20:12:41.224148Z,35.176.162.240,ee0567e30d89,sudo -l,cowrie.command.input
2026-04-16T20:12:41.846772Z,35.176.162.240,08c6c7968240,history,cowrie.command.input
2026-04-16T20:13:14.865264Z,35.176.162.240,0534ef13497b,whoami,cowrie.command.input
2026-04-16T20:13:15.417893Z,35.176.162.240,20cda913411c,id,cowrie.command.input
2026-04-16T20:13:16.037086Z,35.176.162.240,f3056e83522f,uname -a,cowrie.command.input
2026-04-16T20:13:16.592392Z,35.176.162.240,1ad749025e54,hostname,cowrie.command.input
2026-04-16T20:13:17.200885Z,35.176.162.240,69f0c8f5a200,cat /etc/passwd,cowrie.command.input
2026-04-16T20:13:17.837222Z,35.176.162.240,c6188d31c23c,ls,cowrie.command.input
2026-04-16T20:13:18.392160Z,35.176.162.240,580381b5fa5f,ls -la,cowrie.command.input
2026-04-16T20:13:19.011862Z,35.176.162.240,b1bfffecc212,pwd,cowrie.command.input
2026-04-16T20:13:19.566763Z,35.176.162.240,7d9362735780,cd /etc,cowrie.command.input
2026-04-16T20:13:20.180221Z,35.176.162.240,9203f4a6f029,ls,cowrie.command.input
2026-04-16T20:13:20.784503Z,35.176.162.240,4be05ab12422,cd /tmp,cowrie.command.input
2026-04-16T20:13:21.355694Z,35.176.162.240,f51fb99d0a41,ls,cowrie.command.input
2026-04-16T20:13:21.984012Z,35.176.162.240,2b9102ea351d,netstat,cowrie.command.input
2026-04-16T20:13:22.595888Z,35.176.162.240,8031fb033602,ifconfig,cowrie.command.input
2026-04-16T20:13:23.155756Z,35.176.162.240,75d556b5cf67,ps aux,cowrie.command.input
2026-04-16T20:13:23.817220Z,35.176.162.240,d3971df78998,cat /etc/shadow,cowrie.command.input
2026-04-16T20:13:24.383643Z,35.176.162.240,435ab8617d93,sudo -l,cowrie.command.input
2026-04-16T20:13:25.000423Z,35.176.162.240,e9b36a3f4a15,history,cowrie.command.input
2026-04-16T20:14:09.020416Z,35.176.162.240,abf64ee23ffa,whoami,cowrie.command.input
2026-04-16T20:14:09.574951Z,35.176.162.240,6faea95e76bf,id,cowrie.command.input
2026-04-16T20:14:10.195186Z,35.176.162.240,bfd72a3a0e2c,uname -a,cowrie.command.input
2026-04-16T20:14:10.797906Z,35.176.162.240,d582656db306,hostname,cowrie.command.input
2026-04-16T20:14:11.355375Z,35.176.162.240,3acd6d346e3a,cat /etc/passwd,cowrie.command.input
2026-04-16T20:14:11.971866Z,35.176.162.240,627e2b5f2f95,ls,cowrie.command.input
2026-04-16T20:14:12.528900Z,35.176.162.240,bb242373e14a,ls -la,cowrie.command.input
2026-04-16T20:14:13.138763Z,35.176.162.240,1db87ffcf7ea,pwd,cowrie.command.input
2026-04-16T20:14:13.735869Z,35.176.162.240,c81588fa134d,cd /etc,cowrie.command.input
